questSystemName,questName,questRank,questPrompt,questAuraGranted,questEventCount,questEventUnits
Plank System,Plank 10 Seconds - Session 1,1,Hold a plank for 10 seconds to strengthen your core,1.0,10,seconds
Plank System,Plank 10 Seconds - Session 2,1,Maintain a plank for 10 seconds to build endurance,1.0,10,seconds
Plank System,Plank 10 Seconds - Session 3,1,Challenge your core by sustaining a plank for 10 seconds,1.0,10,seconds
Plank System,Plank 20 Seconds - Session 1,2,Hold a plank for 20 seconds to strengthen your core,1.4,20,seconds
Plank System,Plank 20 Seconds - Session 2,2,Maintain a plank for 20 seconds to build endurance,1.4,20,seconds
Plank System,Plank 20 Seconds - Session 3,2,Challenge your core by sustaining a plank for 20 seconds,1.4,20,seconds
Plank System,Plank 30 Seconds - Session 1,3,Hold a plank for 30 seconds to strengthen your core,2.6,30,seconds
Plank System,Plank 30 Seconds - Session 2,3,Maintain a plank for 30 seconds to build endurance,2.6,30,seconds
Plank System,Plank 30 Seconds - Session 3,3,Challenge your core by sustaining a plank for 30 seconds,2.6,30,seconds
Plank System,Plank 45 Seconds - Session 1,4,Hold a plank for 45 seconds to strengthen your core,4.6,45,seconds
Plank System,Plank 45 Seconds - Session 2,4,Maintain a plank for 45 seconds to build endurance,4.6,45,seconds
Plank System,Plank 45 Seconds - Session 3,4,Challenge your core by sustaining a plank for 45 seconds,4.6,45,seconds
Plank System,Plank 60 Seconds - Session 1,5,Hold a plank for 60 seconds to strengthen your core,7.5,60,seconds
Plank System,Plank 60 Seconds - Session 2,5,Maintain a plank for 60 seconds to build endurance,7.5,60,seconds
Plank System,Plank 60 Seconds - Session 3,5,Challenge your core by sustaining a plank for 60 seconds,7.5,60,seconds
Plank System,Plank 75 Seconds - Session 1,6,Hold a plank for 75 seconds to strengthen your core,11.1,75,seconds
Plank System,Plank 75 Seconds - Session 2,6,Maintain a plank for 75 seconds to build endurance,11.1,75,seconds
Plank System,Plank 75 Seconds - Session 3,6,Challenge your core by sustaining a plank for 75 seconds,11.1,75,seconds
Plank System,Plank 90 Seconds - Session 1,7,Hold a plank for 90 seconds to strengthen your core,15.6,90,seconds
Plank System,Plank 90 Seconds - Session 2,7,Maintain a plank for 90 seconds to build endurance,15.6,90,seconds
Plank System,Plank 90 Seconds - Session 3,7,Challenge your core by sustaining a plank for 90 seconds,15.6,90,seconds
Plank System,Plank 110 Seconds - Session 1,8,Hold a plank for 110 seconds to strengthen your core,20.8,110,seconds
Plank System,Plank 110 Seconds - Session 2,8,Maintain a plank for 110 seconds to build endurance,20.8,110,seconds
Plank System,Plank 110 Seconds - Session 3,8,Challenge your core by sustaining a plank for 110 seconds,20.8,110,seconds
Plank System,Plank 130 Seconds - Session 1,9,Hold a plank for 130 seconds to strengthen your core,26.9,130,seconds
Plank System,Plank 130 Seconds - Session 2,9,Maintain a plank for 130 seconds to build endurance,26.9,130,seconds
Plank System,Plank 130 Seconds - Session 3,9,Challenge your core by sustaining a plank for 130 seconds,26.9,130,seconds
Plank System,Plank 150 Seconds - Session 1,10,Hold a plank for 150 seconds to strengthen your core,33.8,150,seconds
Plank System,Plank 150 Seconds - Session 2,10,Maintain a plank for 150 seconds to build endurance,33.8,150,seconds
Plank System,Plank 150 Seconds - Session 3,10,Challenge your core by sustaining a plank for 150 seconds,33.8,150,seconds
Plank System,Plank 165 Seconds - Session 1,11,Hold a plank for 165 seconds to strengthen your core,41.5,165,seconds
Plank System,Plank 165 Seconds - Session 2,11,Maintain a plank for 165 seconds to build endurance,41.5,165,seconds
Plank System,Plank 165 Seconds - Session 3,11,Challenge your core by sustaining a plank for 165 seconds,41.5,165,seconds
Plank System,Plank 180 Seconds - Session 1,12,Hold a plank for 180 seconds to strengthen your core,50.0,180,seconds
Plank System,Plank 180 Seconds - Session 2,12,Maintain a plank for 180 seconds to build endurance,50.0,180,seconds
Plank System,Plank 180 Seconds - Session 3,12,Challenge your core by sustaining a plank for 180 seconds,50.0,180,seconds
